SAMPLE CODE,Acanthurus bahianus,Acanthurus chirurgus,Acanthurus coeruleus,Acanthurus tractus,Aetobatus narinari,Alectis ciliaris,Balistes vetula,Calamus pennatula,Canthidermis sufflamen,Caranx crysos,Caranx hippos,Caranx latus,Caranx lugubris,Caranx ruber,Carcharhinus limbatus,Carcharhinus perezii,Cephalopholis cruentata,Cephalopholis fulva,Chaetodon ocellatus,Chaetodon sedentarius,Chaetodon striatus,Decapterus macarellus,Elagatis bipinnulata,Epinephelus adscensionis,Epinephelus guttatus,Epinephelus itajara,Epinephelus striatus,Gerres cinereus,Ginglymostoma cirratum,Gymnothorax moringa,Haemulon plumierii,Holacanthus ciliaris,Holacanthus tricolor,Hypanus americanus,Istiophorus albicans,Lachnolaimus maximus,Lactophrys trigonus,Lactophrys triqueter,Lutjanus analis,Lutjanus apodus,Lutjanus cyanopterus,Lutjanus griseus,Lutjanus jocu,Lutjanus mahogoni,Lutjanus synagris,Microspathodon chrysurus,Mycteroperca interstitialis,Mycteroperca tigris,Mycteroperca venenosa,Negaprion brevirostris,Ocyurus chrysurus,Pomacanthus paru,Pterois volitans,Scarus coelestinus,Scarus iseri,Scarus taeniopterus,Scomberomorus regalis,Seriola rivoliana,Sparisoma aurofrenatum,Sparisoma chrysopterum,Sparisoma radians,Sparisoma rubripinne,Sparisoma viride,Sphyraena barracuda,Trachinotus falcatus,,YEAR,REGION,LOCATION,SITE NAME,DEPTH ZONE,TRANSECT
2004Tourmaline 30mASEC Survey,,,,,515.97,0.00,1300.00,0.00,13052.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1617.44,0.00,0.00,0.00,0.00,0.00,0.00,298.78,94.51,0.00,0.00,3869.27,0.00,0.00,1495.61,106.14,0.00,0.00,0.00,0.00,338.91,0.00,0.00,0.00,0.00,0.00,477.64,0.00,,0.00,,,4400.00,0.00,,,,,,13154.72,0.00,,2004,West,Cabo Rojo,Tourmaline 30m,Mesophotic,ASEC Survey
2004Tres Palmas 10mASEC Survey,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,439.34,0.00,0.00,0.00,0.00,0.00,0.00,528.56,983.58,0.00,0.00,0.00,0.00,0.00,0.00,221.44,0.00,0.00,0.00,893.61,998.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,,,9000.00,0.00,,,,,,0.00,0.00,,2004,West,Rincon,Tres Palmas 10m,Shallow,ASEC Survey
2004Tres Palmas 20mASEC Survey,,,,,0.00,0.00,0.00,0.00,0.00,793.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,120.88,0.00,0.00,0.00,0.00,439.34,0.00,0.00,0.00,0.00,0.00,0.00,528.56,983.58,0.00,0.00,0.00,0.00,0.00,0.00,221.44,0.00,0.00,0.00,893.61,754.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,,,9000.00,0.00,,,,,,2645.49,0.00,,2004,West,Rincon,Tres Palmas 20m,Intermediate,ASEC Survey
2004Tres Palmas 5mASEC Survey,,,,,0.00,0.00,0.00,0.00,0.00,609.31,0.00,42.62,10.40,0.00,0.00,0.00,0.00,92.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,427.38,106.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,426.39,,,3721.48,0.00,,,,,,0.00,0.00,,2004,West,Rincon,Tres Palmas 5m,Very Shallow,ASEC Survey
2004West Caballo BlancoASEC Survey,,,,,0.00,0.00,0.00,6564.27,0.00,1027.89,0.00,0.00,403.56,4075.91,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,465.48,0.00,0.00,6229.20,2986.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,366.09,5458.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18812.87,0.00,,0.00,,,2700.00,0.00,,,,,,3252.18,0.00,,2004,Vieques/Culebra,Isla Vieques,West Caballo Blanco,Very Shallow,ASEC Survey
2005Cayo CoralASEC Survey,,,,,0.00,0.00,0.00,0.00,0.00,374.65,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,232.74,0.00,872.65,0.00,0.00,,,57.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10006.37,0.00,0.00,0.00,818.00,998.20,0.00,0.00,0.00,1400.00,0.00,281.38,0.00,,0.00,,,535.48,0.00,,,,,,960.10,0.00,,2005,Southwest,Guanica,Cayo Coral,Very Shallow,ASEC Survey
2005DerrumbaderoASEC Survey,,,,,0.00,0.00,0.00,0.00,0.00,1.50,0.00,0.00,3894.62,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1625.62,0.00,0.00,0.00,0.00,,,528.56,919.61,0.00,0.00,3040.58,0.00,0.00,2701.21,106.14,11248.65,0.00,4149.04,2096.53,345.42,0.00,0.00,2375.78,1400.00,0.00,377.01,0.00,,0.00,,,8206.44,0.00,,,,,,5602.08,0.00,,2005,South,Ponce,Derrumbadero,Intermediate,ASEC Survey
2005Puerto Botes 15mASEC Survey,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1094.80,0.00,0.00,439.34,0.00,0.00,0.00,2190.14,,,851.20,246.30,0.00,0.00,0.00,0.00,0.00,0.00,1241.94,0.00,0.00,0.00,1094.41,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,,,1000.00,0.00,,,,,,2645.49,0.00,,2005,Mona/Desecheo,Isla Desecheo,Puerto Botes 15m,Intermediate,ASEC Survey
2005Puerto Botes 20mASEC Survey,,,,,0.00,0.00,0.00,0.00,0.00,2775.33,0.00,0.00,4298.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,439.34,0.00,5100.00,0.00,0.00,,,1057.12,752.55,15300.00,0.00,0.00,0.00,0.00,0.00,2796.40,0.00,0.00,0.00,1094.41,0.00,0.00,0.00,0.00,0.00,0.00,5034.79,0.00,,0.00,,,535.48,0.00,,,,,,5290.98,0.00,,2005,Mona/Desecheo,Isla Desecheo,Puerto Botes 20m,Intermediate,ASEC Survey
2005Puerto Canoas 30mASEC Survey,,,,,0.00,0.00,875.55,0.00,0.00,4446.70,5855.22,0.00,5707.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1625.62,0.00,10800.00,0.00,0.00,,,528.56,321.55,49000.00,0.00,0.00,579.31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,,,0.00,0.00,,,,,,0.00,0.00,,2005,Mona/Desecheo,Isla Desecheo,Puerto Canoas 30m,Mesophotic,ASEC Survey
2005Tourmaline 10mASEC Survey,,,,,0.00,0.00,0.00,0.00,0.00,1299.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,439.34,0.00,0.00,0.00,0.00,,,0.00,511.35,0.00,0.00,0.00,0.00,0.00,0.00,4207.27,0.00,0.00,0.00,0.00,998.20,0.00,0.00,0.00,0.00,0.00,58.86,0.00,,0.00,,,1700.00,0.00,,,,,,1665.25,0.00,,2005,West,Cabo Rojo,Tourmaline 10m,Shallow,ASEC Survey
2005Tourmaline 20mASEC Survey,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5474.00,0.00,0.00,232.74,0.00,2400.00,0.00,0.00,,,0.00,1253.73,0.00,0.00,0.00,0.00,0.00,0.00,6646.07,19755.73,0.00,2077.94,0.00,1439.16,0.00,0.00,0.00,0.00,0.00,980.32,0.00,,0.00,,,3306.44,0.00,,,,,,0.00,0.00,,2005,West,Cabo Rojo,Tourmaline 20m,Intermediate,ASEC Survey
2005Tourmaline 30mASEC Survey,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,439.34,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1900.00,0.00,797.01,0.00,,0.00,,,1700.00,0.00,,,,,,0.00,0.00,,2005,West,Cabo Rojo,Tourmaline 30m,Mesophotic,ASEC Survey
2005Tres Palmas 10mASEC Survey,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,232.74,0.00,0.00,0.00,0.00,,,528.56,63.97,0.00,0.00,0.00,0.00,0.00,0.00,221.44,0.00,0.00,0.00,0.00,409.49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,,,535.48,0.00,,,,,,0.00,0.00,,2005,West,Rincon,Tres Palmas 10m,Shallow,ASEC Survey
2005Tres Palmas 20mASEC Survey,,,,,0.00,0.00,0.00,0.00,0.00,793.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.11,0.00,22815.00,0.00,0.00,1617.44,0.00,0.00,0.00,0.00,,,528.56,983.58,0.00,0.00,0.00,0.00,0.00,1800.00,0.00,0.00,0.00,0.00,652.15,345.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,,,10000.00,0.00,,,,,,25431.19,0.00,,2005,West,Rincon,Tres Palmas 20m,Intermediate,ASEC Survey
2005Tres Palmas 5mASEC Survey,,,,,0.00,0.00,0.00,0.00,0.00,958.59,0.00,53.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,3900.00,0.00,0.00,0.00,0.00,0.00,770.46,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,,,756.94,0.00,,,,,,1665.25,0.00,,2005,West,Rincon,Tres Palmas 5m,Very Shallow,ASEC Survey
2005West ReefASEC Survey,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,821.10,0.00,0.00,232.74,0.00,0.00,0.00,0.00,,,298.78,688.58,0.00,0.00,0.00,0.00,0.00,2373.42,1063.85,0.00,744.08,0.00,893.61,12144.12,0.00,0.00,0.00,378.95,0.00,5616.44,0.00,,0.00,,,1070.96,0.00,,,,,,1665.25,0.00,,2005,South,Ponce,West Reef,Very Shallow,ASEC Survey
2006Cayo CoralASEC Survey,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,391.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,904.82,31900.00,872.65,0.00,0.00,,,528.56,0.00,0.00,0.00,248.07,0.00,0.00,0.00,9614.69,0.00,0.00,0.00,818.00,70.58,0.00,0.00,0.00,0.00,0.00,281.38,0.00,,0.00,,,0.00,0.00,,,,,,0.00,0.00,,2006,Southwest,Guanica,Cayo Coral,Very Shallow,ASEC Survey
2006DerrumbaderoASEC Survey,,,,,0.00,0.00,0.00,0.00,0.00,9814.74,0.00,0.00,1947.31,483.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,439.34,0.00,0.00,0.00,0.00,,,1149.98,167.06,0.00,0.00,1991.96,0.00,0.00,2701.21,905.20,11248.65,0.00,2074.52,923.00,345.42,0.00,0.00,3521.98,1400.00,0.00,243.39,0.00,,0.00,,,2000.00,0.00,,,,,,960.10,0.00,,2006,South,Ponce,Derrumbadero,Intermediate,ASEC Survey
2006Puerto Botes 15mASEC Survey,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1094.80,0.00,0.00,439.34,0.00,0.00,0.00,2190.14,,,851.20,167.06,0.00,0.00,0.00,0.00,0.00,0.00,17228.32,0.00,0.00,0.00,421.94,0.00,0.00,0.00,0.00,0.00,0.00,1716.23,0.00,,0.00,,,1000.00,0.00,,,,,,2645.49,0.00,,2006,Mona/Desecheo,Isla Desecheo,Puerto Botes 15m,Intermediate,ASEC Survey
2006Puerto Botes 20mASEC Survey,,,,,0.00,0.00,875.55,0.00,0.00,374.65,0.00,0.00,403.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5100.00,0.00,0.00,,,851.20,752.55,15300.00,0.00,0.00,0.00,0.00,0.00,14120.65,0.00,0.00,0.00,1846.00,0.00,0.00,0.00,0.00,0.00,0.00,2855.66,0.00,,0.00,,,756.94,0.00,,,,,,3943.27,0.00,,2006,Mona/Desecheo,Isla Desecheo,Puerto Botes 20m,Intermediate,ASEC Survey
2006Puerto Canoas 30mASEC Survey,,,,,0.00,0.00,0.00,0.00,0.00,7043.18,6677.82,0.00,7331.71,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1212.06,0.00,2056.78,0.00,11300.00,0.00,0.00,,,1300.00,1086.67,49000.00,0.00,0.00,579.31,0.00,0.00,12399.62,0.00,0.00,1038.97,250.53,0.00,0.00,0.00,0.00,1400.00,0.00,516.23,0.00,,0.00,,,4470.96,0.00,,,,,,1665.25,0.00,,2006,Mona/Desecheo,Isla Desecheo,Puerto Canoas 30m,Mesophotic,ASEC Survey
2006Tourmaline 10mASEC Survey,,,,,0.00,0.00,0.00,0.00,0.00,1299.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,439.34,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,1102.06,0.00,0.00,0.00,4207.27,0.00,0.00,0.00,0.00,1305.56,0.00,0.00,0.00,0.00,0.00,603.31,0.00,,0.00,,,1000.00,0.00,,,,,,2645.49,0.00,,2006,West,Cabo Rojo,Tourmaline 10m,Shallow,ASEC Survey
2006Tourmaline 20mASEC Survey,,,,,0.00,0.00,550.06,0.00,0.00,0.00,0.00,0.00,0.00,195.61,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2737.00,0.00,0.00,343.32,0.00,872.65,0.00,0.00,,,528.56,678.41,0.00,0.00,0.00,0.00,0.00,0.00,221.44,0.00,0.00,0.00,250.53,0.00,0.00,0.00,0.00,0.00,0.00,1332.29,0.00,,0.00,,,2455.44,0.00,,,,,,2645.49,0.00,,2006,West,Cabo Rojo,Tourmaline 20m,Intermediate,ASEC Survey
2006Tourmaline 30mASEC Survey,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,365.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,439.34,0.00,3200.00,0.00,0.00,,,2500.00,0.00,0.00,0.00,1102.06,0.00,0.00,0.00,998.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1900.00,0.00,717.24,0.00,,0.00,,,1000.00,0.00,,,,,,0.00,0.00,,2006,West,Cabo Rojo,Tourmaline 30m,Mesophotic,ASEC Survey
2006Tres Palmas 10mASEC Survey,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,878.68,0.00,0.00,0.00,0.00,,,528.56,63.97,0.00,0.00,0.00,0.00,0.00,0.00,221.44,0.00,0.00,0.00,0.00,511.62,0.00,0.00,0.00,0.00,0.00,0.00,3062.16,,0.00,,,0.00,0.00,,,,,,2645.49,0.00,,2006,West,Rincon,Tres Palmas 10m,Shallow,ASEC Survey
2006Tres Palmas 20mASEC Survey,,,,,0.00,0.00,0.00,0.00,0.00,1847.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.11,0.00,0.00,0.00,0.00,439.34,0.00,0.00,0.00,0.00,,,908.32,575.32,6700.00,0.00,0.00,0.00,0.00,0.00,221.44,0.00,0.00,0.00,0.00,345.42,0.00,0.00,0.00,0.00,0.00,1019.53,0.00,,0.00,,,2042.16,0.00,,,,,,1281.00,0.00,,2006,West,Rincon,Tres Palmas 20m,Intermediate,ASEC Survey
2006Tres Palmas 5mASEC Survey,,,,,0.00,0.00,0.00,0.00,0.00,609.31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,439.34,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,270.25,770.46,0.00,0.00,0.00,392.55,0.00,1997.04,0.00,0.00,0.00,0.00,222.52,0.00,,0.00,,,0.00,0.00,,,,,,0.00,0.00,,2006,West,Rincon,Tres Palmas 5m,Very Shallow,ASEC Survey
2006West ReefASEC Survey,,,,,0.00,0.00,875.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,232.74,0.00,0.00,0.00,0.00,,,528.56,688.58,0.00,0.00,3342.09,0.00,0.00,3103.18,1103.84,0.00,418.12,0.00,893.61,72160.48,0.00,0.00,0.00,0.00,0.00,10161.72,0.00,,0.00,,,2700.00,0.00,,,,,,2645.49,0.00,,2006,South,Ponce,West Reef,Very Shallow,ASEC Survey
2007Cayo CoralASEC Survey,,,,,0.00,0.00,0.00,0.00,0.00,1827.93,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,904.82,0.00,872.65,0.00,0.00,,,528.56,0.00,0.00,0.00,724.83,0.00,0.00,0.00,1958.78,0.00,0.00,0.00,818.00,691.81,0.00,0.00,0.00,378.95,7400.00,3271.55,0.00,,0.00,,,0.00,0.00,,,,,,0.00,0.00,,2007,Southwest,Guanica,Cayo Coral,Very Shallow,ASEC Survey
2007DerrumbaderoASEC Survey,,,,,0.00,0.00,0.00,0.00,0.00,4622.51,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,439.34,0.00,0.00,0.00,0.00,,,2196.34,344.29,0.00,0.00,1102.06,0.00,0.00,0.00,2209.62,0.00,0.00,0.00,923.00,345.42,0.00,0.00,0.00,0.00,0.00,1421.18,0.00,,0.00,,,3700.00,0.00,,,,,,960.10,2829.58,,2007,South,Ponce,Derrumbadero,Intermediate,ASEC Survey
2007Puerto Botes 15mASEC Survey,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1094.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,2600.00,167.06,0.00,0.00,0.00,0.00,0.00,0.00,9213.60,0.00,0.00,0.00,421.94,0.00,0.00,0.00,0.00,0.00,0.00,2454.98,0.00,,0.00,,,1000.00,0.00,,,,,,3252.18,0.00,,2007,Mona/Desecheo,Isla Desecheo,Puerto Botes 15m,Intermediate,ASEC Survey
2007Puerto Botes 20mASEC Survey,,,,,0.00,0.00,0.00,0.00,0.00,374.65,0.00,0.00,1947.31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,439.34,0.00,0.00,0.00,0.00,,,851.20,472.23,0.00,0.00,0.00,0.00,0.00,0.00,9178.23,0.00,0.00,0.00,974.73,0.00,0.00,0.00,0.00,0.00,0.00,2630.76,0.00,,0.00,,,1000.00,0.00,,,,,,3943.27,0.00,,2007,Mona/Desecheo,Isla Desecheo,Puerto Botes 20m,Intermediate,ASEC Survey
