SAMPLE CODE,Rugosity (m),Reef overhang,Rubble,Sand,Sand and rubble,Gaps/Holes,Abiotic (total),Lebrunia neglecta,Phymanthus crucifer,Ricordea florida,Anemone spp. ,Anemones (total),Eudistoma spp. ,Trididemnum solidum,Ascidian spp. ,Tunicata (total),CCA (total),Cyanobacteria (total),Thalassia testudinum,Seagrass (total),Amphiroa spp. ,Asparagopsis taxiformis,Asparagopsis taxiformis on Ramicrusta,Caulerpa racemosa,Caulerpa spp.  ,Caulerpa spp.  on Ramicrusta,Dichotomaria marginata,Dictyota spp. ,Dictyota spp.  on Ramicrusta,Galaxaura spp. ,Galaxaura spp.  on Ramicrusta,Gracilaria spp. ,Halimeda discoidea,Halimeda spp. ,Halimeda spp.  on Ramicrusta,Halimeda tuna,Jania spp. ,Lobophora spp. ,Lobophora variegata,Lobophora variegatus on Ramicrusta,Martensia pavonia,Padina spp. ,Sargassum hystrix,Sargassum natans,Stypopodium spp. ,Stypopodium zonale,Udotea spp.  ,Valonia ventricosa,Wrangelia bicuspidata,Macroalgae spp. ,Macroalgae (total),Ramicrusta spp. ,Peyssonnelia spp. ,Peyssonneliaceae (total),Turf (mixed) on Ramicrusta,Turf (mixed) with sediment,Turf (mixed),Turf Algae (total),Antillogorgia acerosa,Antillogorgia americana,Antillogorgia bipinnata,Antillogorgia rigida,Eunicea calyculata,Eunicea flexuosa,Eunicea mammosa,Eunicea pallida,Eunicea spp. ,Eunicea succinea,Eunicea tourneforti,Gorgonia mariae,Gorgonia ventalina,Muricea atlantica,Muricea elongata,Muricea muricata,Muricea pinnata,Muriceopsis flavida,Plexaura homomalla,Plexaura kukenthali,Plexaura spp. ,Plexaurella nutans,Pseudoplexaura flagellosa,Pseudoplexaura spp. ,Pseudoplexaura wagenaari,Pterogorgia guadalupensis,Pterogorgia spp.  ,Octocoral spp.,Octocorals (total erect),Briareum asbestinum,Erythropodium caribaeorum,Octocoral spp. (encrusting),Octocorals (total encrusting),Antillogorgia acerosa (# col.),Antillogorgia americana (# col.),Antillogorgia bipinnata (# col.),Antillogorgia spp.  (# col.)  ,Briareum asbestinum (# col.),Erythropodium caribaeorum (# col.),Eunicea asperula (# col.),Eunicea calyculata (# col.),Eunicea flexuosa (# col.),Eunicea lacinata (# col.),Eunicea laxispica (# col.),Eunicea mammosa (# col.),Eunicea spp.  (# col.),Eunicea succinea (# col.),Eunicea tourneforti (# col.),Gorgonia ventalina (# col.),Muricea atlantica (# col.),Muricea elongata (# col.),Muricea laxa (# col.),Muricea muricata (# col.),Muricea spp.  (# col).,Muriceopsis flavida (# col.),Plexaura homomalla (# col.),Plexaura kukenthali (# col.),Plexaura kuna (# col.),Plexaura spp.  (# col.),Plexaurella dichotoma (# col.),Plexaurella nutans (# col.),Plexaurella spp.  (# col.),Pseudoplexaura flagellosa (# col.),Pseudoplexaura porosa (# col.),Pterogorgia citrina (# col.),Pterogorgia guadalupensis (# col.),Pterogorgia spp.  (# col.),Octocoral (total # col.),Agelas citrina,Agelas clathrodes,Agelas conifera,Agelas dispar,Agelas sceptrum,Agelas spp. ,Agelas sventres,Agelas tubulata,Aiolochroia crassa,Amphimedon compressa,Amphimedon viridis,Aplysina archeri,Aplysina cauliformis,Aplysina fistularis,Aplysina fulva,Aplysina lacunosa,Aplysina spp. ,Biemna caribea,Biemna spp. ,Callyspongia armigera,Callyspongia fallax,Callyspongia plicifera,Callyspongia spp. ,Callyspongia tenerrima,Callyspongia vaginalis,Chondrilla caribensis,Chondrosia collectrix,Cinachyrella apion,Cinachyrella kuekenthali,Clathria spp.  ,Clathria venosa,Cliona aprica,Cliona caribbaea,Cliona delitrix,Cliona laticavicola,Cliona spp.  ,Cliona tenuis,Cliona varians,Cribrochalina vasculum,Desmapsamma spp. ,Desmapsamma anchorata,Dictyonella funicularis,Dictyonella spp. ,Diplastrella spp. ,Dragmacidon reticulatum,Dysidea etheria,Dysidea janiae,Ectyoplasia ferox,Geodia neptuni,Haliclona spp. ,Halisarca caerulea,Halisarca spp. ,Iotrochota arenosa,Iotrochota birotulata,Ircinia campana,Ircinia felix,Ircinia spp. ,Ircinia strobilina,Monanchora arbuscula,Mycale laevis,Mycale laxissima,Neofibularia nolitangere,Neopetrosia carbonaria,Neopetrosia proxima,Neopetrosia rosariensis,Neopetrosia spp. ,Niphates alba,Niphates caribica,Niphates caycedoi,Niphates digitalis,Niphates erecta,Niphates spp. ,Petrosia pellasarca,Petrosia spp. ,Petrosia weinbergi,Phorbas amaranthus,Placospherastra micraster,Plakortis angulospiculatus,Plakortis halichondrioides,Plakortis spp. ,Prosuberites laughlini,Ptilocaulis walpersii,Scopalina ruetzleri,Smenospongia aurea,Smenospongia conulosa,Spheciospongia vesparium,Spirastrella coccinea,Spirastrella hartmani,Suberea spp. ,Svenzea zeai,Tedania klausi,Topsentia ophiraphidites,Topsentia spp. ,Verongula reiswigi,Verongula rigida,Verongula spp. ,Xestospongia muta,Sponge spp. ,Sponges (total),Acropora cervicornis,Acropora palmata,Acropora prolifera,Agaricia agaricites,Agaricia grahamae,Agaricia humilis,Agaricia lamarcki,Agaricia spp.  ,Colpophyllia natans,Dendrogyra cylindrus,Dichocoenia stokesii,Diploria labyrinthiformis,Eusmilia fastigiata,Helioseris cucullata,Isophyllia rigida,Isophyllia sinuosa,Madracis auretenra,Madracis carmabi,Madracis decactis,Madracis formosa,Madracis pharensis,Madracis senaria,Madracis spp. ,Manicina areolata,Meandrina meandrites,Montastraea cavernosa,Mussa angulosa,Mycetophyllia aliciae,Mycetophyllia danaana,Mycetophyllia ferox,Mycetophyllia lamarckiana,Mycetophyllia spp. ,Oculina diffusa,Orbicella annularis,Orbicella annularis (complex),Orbicella faveolata,Orbicella franksi,Porites astreoides,Porites colonensis,Porites divaricata,Porites furcata,Porites porites,Pseudodiploria clivosa,Pseudodiploria strigosa,Scolymia cubensis,Scolymia spp. ,Siderastrea radians,Siderastrea siderea,Solenastrea bournoni,Stephanocoenia intersepta,Stony Coral spp. ,Millepora alcicornis,Millepora complanata,Millepora spp. ,Millepora squarrosa,Stylaster roseus,Stony Corals (total),Stony Corals (total # diseased col.),Stony Corals (total #col.),Partially bleached coral (total),Recently dead coral (total),Condominium spp.  ,Palythoa grandis,Palythoa caribaeorum,Zoanthids (total),,YEAR,REGION,LOCATION,SITE NAME,DEPTH ZONE,TRANSECT
2006West Reef2,5.56,10.9,4.05,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.48,1.48,0,0,0,,,70.1,70.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.39,0.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.08,0,0,0,0,0,0,0,,8.93,,,0,0,0,0,0,0,0,0,0,0,1.09,0,0,0,0,0,0,0,0,13.1,,,58.7,28.4,0,0,0,0,,2006,South,Ponce,West Reef,Very Shallow,2
2006West Reef3,7.25,27.4,4.17,7.24,0,0,38.8,0,0,0,0,0,0,0,0,0,0,1.39,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,42.4,42.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.35,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.19,3.19,0,0,0,0,0.33,0,0,0,0,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.04,0,0,0,0,0,0,0,,6.14,,,2.38,0,0,0,0,0,0,0,0,0.64,2.61,0,0,0,0,0,0,0,0,13.96,,,18.1,0,0,0,0,0,,2006,South,Ponce,West Reef,Very Shallow,3
2006West Reef4,7.47,24.11,0,5.96,0,0,30.07,0,0,0,0,0,0,0,0,0,2.12,1.2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,52.99,52.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1.78,1.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.24,0.24,0,0,0,0,0,0,0,0,1.05,0,0,0,0,0,0,0,0,0,0.57,0,0,0,0,0,0.89,3.89,0,0,0,0,0,0,0,,2.98,,,1.37,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,11.13,,,3.62,12.18,0,0,0,0,,2006,South,Ponce,West Reef,Very Shallow,4
2006West Reef5,7.23,27.16,5.98,2.86,0,0,36,0,0,0,0,0,0,0,0,0,0,0.81,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,48.06,48.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.9,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,0.99,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.02,0,0,0,0,0,0,0,,3.37,,,2.79,0,0,0,0.08,0,0,0,0,2.26,0,0,0.25,1.21,0,0,0,0,0,13.23,,,23.48,2.55,0,0,0,0,,2006,South,Ponce,West Reef,Very Shallow,5
2006Cayo Coral1,1.56,9.81,0,1.13,0,0,10.94,0,0,0,2.27,2.27,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,69.61,69.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.46,1.46,0,0,0,0,0,0,0,0,4.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32,0,0,0,0,0,0,0,0,,2.59,,,4.46,0,0,0,0,0,0,0,0,1.05,0,0,0,0.01,0,0,0,0,0,12.97,,,0,0,0,0,0,0,,2006,Southwest,Guanica,Cayo Coral,Very Shallow,1
2006Cayo Coral2,4.33,18.15,0,0,0,0,18.15,0,0,0,0.9,0.9,0,0,0,0,0.24,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.95,4.95,0,0,0,,,51.63,51.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.18,0.18,0,0,0,0,0,0,0,0,0,0,0,0,2.96,0,0,0,0,0,0,0,0,0,0,0,0,4.52,0,0,0,0,0,0,0,,2.35,,,0,0,0,0,0,0,9.17,0,0,0,3.98,0,0,0,0,0,0,0,0,22.98,,,0,0,0,0,0,0,,2006,Southwest,Guanica,Cayo Coral,Very Shallow,2
2006Cayo Coral3,2.34,17.34,0,0,0,0,17.34,0,0,0,0,0,0,0,0,0,2.25,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.63,2.63,0,0,0,,,65.02,65.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8,1.8,0,0,0,0,0,0,0,0,5.18,0,0,0.3,0,0,0,0,0,0,1.8,0,0,0,0,0,2.1,0,0,0,0,0,0,0,0,,0,,,1.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.96,,,0,0,0,0,0,0,,2006,Southwest,Guanica,Cayo Coral,Very Shallow,3
2006Cayo Coral4,3.62,11.52,0,0,0,0,11.52,0,0,0,1.43,1.43,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.06,1.06,0,0,0,,,58.41,58.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,3.49,3.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.53,0.53,0,0,0,4.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,4.3,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.85,,,0,0,0,0,0,0,,2006,Southwest,Guanica,Cayo Coral,Very Shallow,4
2006Cayo Coral5,2.84,6.89,3.28,0,0,0,10.17,0,0,0,0.38,0.38,0,0,0,0,0.38,0.96,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.05,2.05,0,0,0,,,64.71,64.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,2.12,2.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.87,0.87,0,0,0,0.89,0,0,0,0,0,0,0,1.63,0,0,0,0,0,0,0,0,0,0,0,0,0,2.66,0,0,0,0,0,0,0,,5.26,,,0,0,0,0,0,0,0.38,0,0,0,0,0,0,0,0,0,0,0,0,10.82,,,0,0,0,0,0,0,,2006,Southwest,Guanica,Cayo Coral,Very Shallow,5
2006Derrumbadero1,3.63,14.68,0,0,0,0,14.68,0,0,0,0,0,0,0,0,0,0,7.42,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,57.49,57.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,2.35,2.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.79,2.79,0,0,0,1.14,0,0,0,0,0,0,0,0.72,0,0,0,0,0,0,0.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,10.23,,,1.34,0.41,0,0,0.52,0,0,0,0,0,0.41,0,0,0,0,0,0,0,0,15.29,,,49.64,0.83,0,0,0,0,,2006,South,Ponce,Derrumbadero,Intermediate,1
2006Derrumbadero2,4.2,12.68,0,0,0,0,12.68,0,0,0,0,0,0,0,0,0,0,1.27,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,70.8,70.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,5.99,5.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.48,1.48,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,,3.07,,,1.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,6.26,,,24.7,2.78,0,0,0,0,,2006,South,Ponce,Derrumbadero,Intermediate,2
2006Derrumbadero3,3.17,5.47,0,0,0,0,5.47,0,0,0,0,0,0,0,0,0,0.32,5.24,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,66.67,66.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1.39,1.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.42,3.42,0,0,0,0.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.89,0,0,0,0,0,0,0,,7.59,,,3.42,0,0,0,0,0,2.99,0,0,0,0,0,0,0,0,0,0,0,0,17.42,,,0.8,2.99,0,0,0,0,,2006,South,Ponce,Derrumbadero,Intermediate,3
2006Derrumbadero4,4.11,13.47,0,0,0,0,13.47,0,0,0,0,0,0,0,0,0,0,4.11,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,66.69,66.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.49,1.49,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,8.88,,,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.88,,,26.41,18.86,0,0,0,0,,2006,South,Ponce,Derrumbadero,Intermediate,4
2006Derrumbadero5,2.83,10.14,0,0,0,0,10.14,0,0,0,0,0,0,0,0,0,0,10.45,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,56.63,56.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.66,0.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.17,1.17,0,0,0,0,0,0,0,0,0,0,0,1.54,0,0,0,0,0,0,0,0,0,0,0,0,0,2.42,0,0,0,0,0,0,0,,13.72,,,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0.66,0,0,0,0,20.97,,,78.08,4.39,0,0,0,0,,2006,South,Ponce,Derrumbadero,Intermediate,5
2006Puerto Botes 15m1,3.44,9.45,0,12.28,0,0,21.73,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.46,27.46,0,0,0,,,62.88,62.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.69,4.69,0,0,0,0,0,0,0,0,0,0,0,0.52,0,0,0,0,0,0,0,0,0,0,0,0,0,3.05,0,0,0,0,0.42,0,0,,1.56,,,2.08,0,0,0,0,0,0.84,0,0,0.63,1.15,0,0.45,0.01,0,0,0,0,0,10.71,,,0,0.92,0,0,0,0,,2006,Mona/Desecheo,Isla Desecheo,Puerto Botes 15m,Intermediate,1
2006Puerto Botes 15m2,3.35,9.29,0,9.89,0,0,19.18,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.32,42.32,0,0,0,,,28.91,28.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,1.5,0,0,0,0,0,0,0,0,0.84,0,0,0.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1.27,,,4.94,0,0,0,0,0,0,0,0,0.53,0,0,0,0,0,0,0,0,0,8.09,,,0,1.45,0,0,0,0,,2006,Mona/Desecheo,Isla Desecheo,Puerto Botes 15m,Intermediate,2
2006Puerto Botes 15m3,3.54,9.76,0,3.11,0,0,12.87,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.72,35.72,0,0,0,,,40.09,40.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.81,2.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.31,0,0,0,0,0,0,1.99,0,0,0,0,0,0,0,,3.99,,,2.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.58,,,0,2.23,0,0,0,0,,2006,Mona/Desecheo,Isla Desecheo,Puerto Botes 15m,Intermediate,3
2006Puerto Botes 15m4,3.68,11.12,0,5.63,0,0,16.75,0,0,0,0,0,0,0,0,0,0.93,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.23,55.23,0,0,0,,,14.13,14.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.34,8.34,0,0,0,0.31,0,0,0,0,0,0,0,0,1.83,0,0,0,0,0,0,0,0,0,0,0,0,1.55,0,0,0,0,0,0,0,,0,,,0.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.61,,,0,0.56,0,0,0,0,,2006,Mona/Desecheo,Isla Desecheo,Puerto Botes 15m,Intermediate,4
2006Puerto Botes 15m5,4.47,9.82,0,0,0,0,9.82,0,0,0,0,0,0,0,0,0,0.49,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.75,20.75,0,0,0,,,41.75,41.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.47,9.47,0,0,0,6.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.97,2.35,0,0,0,0,0,0,0,,5.95,,,0.49,0,0,0,0,0,1.27,0,0,0,0,0,0,0,0,0,0,0,0,17.39,,,0,0.45,0,0,0,0,,2006,Mona/Desecheo,Isla Desecheo,Puerto Botes 15m,Intermediate,5
2006Puerto Botes 20m1,2.92,6.19,0,0,0,0,6.19,0,0,0,0,0,0,0,0,0,0.65,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.85,13.85,0,0,0,,,60.76,60.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.65,0.65,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.09,8.83,0,0,0,0,0,0,0,,5.03,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33,0,0,0,0,17.91,,,0,4.69,0,0,0,0,,2006,Mona/Desecheo,Isla Desecheo,Puerto Botes 20m,Intermediate,1
2006Puerto Botes 20m2,5.48,15.63,0,0,0,0,15.63,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.58,16.58,0,0,0,,,50.19,50.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.72,8.72,0,0,0,2.45,0,0,0,0,0.55,0,0,0,0.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2.97,,,1.1,0,0,0,1.29,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,8.82,,,0,4.51,0,0,0,0,,2006,Mona/Desecheo,Isla Desecheo,Puerto Botes 20m,Intermediate,2
2006Puerto Botes 20m3,4.28,13.59,0,0,0,0,13.59,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.94,17.94,0,0,0,,,45.62,45.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.22,3.22,0,0,0,4.27,0,0,0,0,0,0,0,0,1.58,0,0,0,0,0,0,0,0,0,0,0,1.18,2.47,0,0,0,0,0,0,0,,8.48,,,0.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0,0,0,19.66,,,0,4.07,0,0,0,0,,2006,Mona/Desecheo,Isla Desecheo,Puerto Botes 20m,Intermediate,3
2006Puerto Botes 20m4,2.69,8.9,0,0,0,1.02,9.92,0,0,0,0,0,0,0,0,0,0.89,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.58,14.58,0,0,0,,,22.3,22.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.96,7.96,0,0,0,2.68,0,0,0,0,2.77,0,0,4.81,0,0,0,0,0,0,0,0,0,0,0,0,0.78,0,0,0,0,0,0,0,0,,3.47,,,0,0,0,0,29.63,0,0,0,0,0.33,0,0,0,0,0,0,0,0,0,44.47,,,0,0.66,0,0,0,0,,2006,Mona/Desecheo,Isla Desecheo,Puerto Botes 20m,Intermediate,4
