PUERTO RICO CORAL REEF MONITORING PROGRAM SITE CLASSIFICATION DATABASE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Site Name,Site Code,Location,Region,Geographic Zone,Central Latitude,Central Longitude,Status,Baseline Year,Most Recent Survey,# Surveyed Years,Surveyed Years,Insular Shelf Zone,Reef Zonation,Mean Depth_(m),Z – true (m),Depth Zone,Habitat Type,Mean Rugosity (m),Topographic Complexity,Coral Biotope,Coral cover % change since baseline,Distance from PR Shoreline (km),Distance from PR Shoreline (km)[Binned],Distance Nearest River Mouth (km),Distance Nearest River Mouth (km) [Binned],Nearest River Mouth Direction,Nearest Main Watershed,# of Waterways Inputs (<10km),# of Waterways Inputs (<10km) [Binned],Watershed Region,PRASA Wastewater Treatment Plant in Near Waterway Inputs,Station Within MPA?,Distance to nearest MPA (km),Nearest MPA Name,MPA Designation Year,MPA Years Since Designation,MPA Seafloor Surface Area (Km^2),MPA Fishing Restrictions,MPA Level of Protection,Transect Coordinates,T1_Lat,T1_Lon,T2_Lat,T2_Lon,T3_Lat,T3_Lon,T4_Lat,T4_Lon,T5_Lat,T5_Lon
Gallardo (2019),19GALL05,Cabo Rojo,West,W,18.0017,-67.3299,Current,2019,2019,1,2019,Outer-Shelf,Bank/Shelf,5,6, very shallow (0-8m),Patch reef ,5,Very High (5-8m),A. palmata,N/A,12.5,>12km,24,>12km,E,Rio Guanajibo,0,0w,No Near Influence,,No,7.15,Finca Belvedere,2003,16,11681,Fishing Restrictions Unknown,Uniform Multiple-Use,Yes,18.00158,-67.32993,18.00163,-67.32991,18.0017,-67.3299,18.00174,-67.3299,18.00181,-67.32989
Las Coronas (Cabo Rojo),99CORC10,Cabo Rojo,West,W,18.09727,-67.28708,Previous,1999,1999,1,1999,Middle-Shelf,Fore Reef,10,10,shallow (8-14m),Aggregate reef,3,High (3-4m),High-Moderate Hard Coral,N/A,9,6-12km,14,>12km,NE,Rio Guanajibo,0,0w,No Near Influence,,Yes,0,Arrecifes de Tourmaline,1998,21,72.69,Commerical Fishing Restricted,Zoned Multiple-Use w/ No Take Areas,N/A,,,,,18.09727,-67.28708,,,,
Media Luna (Cabo Rojo),99MLUC10,Cabo Rojo,West,W,18.10132,-67.31218,Previous,1999,1999,1,1999,Middle-Shelf,Bank/Shelf,10,10.6,shallow (8-14m),Patch reef ,2,Low (0-2m),Octocoral canopy,N/A,12,6-12km,16,>12km,NE,Rio Guanajibo,0,0w,No Near Influence,,Yes,0,Arrecifes de Tourmaline,1998,21,72.69,Commerical Fishing Restricted,Zoned Multiple-Use w/ No Take Areas,N/A,,,,,18.10132,-67.31218,,,,
Tourmaline 10m,99TOUR10,Cabo Rojo,West,W,18.16304,-67.27367,Current,1999,2017,12,"1999, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2013, 2015, 2017",Outer-Shelf,Shelf Edge,10,11,shallow (8-14m),Spur & Groove,3,High (3-4m),High-Moderate Hard Coral,-15%,9.5,6-12km,10,6-12km,E,Rio Guanajibo,1,1w,West,,Yes,0,Arrecifes de Tourmaline,1998,21,72.69,Commerical Fishing Restricted,Zoned Multiple-Use w/ No Take Areas,Yes,18.1631,-67.27349,18.16309,-67.27358,18.16304,-67.27367,18.163,-67.27372,18.16297,-67.27377
Reserva Isla Verde,15RSIV05,Carolina,North/Northeast,N  ,18.44883,-66.01738,Previous,2015,2015,1,2015,Inner-Shelf,Fore Reef,5,4, very shallow (0-8m),Patch reef ,1,Low (0-2m),Low Coral,N/A,0.3,0-3km,1,0-3km,W,Bahía San Jose,3,1-3w,East/Northeast,Yes,Yes,0, Arrecife de la Isla Verde,2012,7,0.95,Commercial and Recreational Fishing Prohibited,No-Take,N/A,,,,,18.44883,-66.01738,,,,
Dominos,18DOMI05,Carolina,North/Northeast,N  ,18.46222,-66.0517,Current,2018,2018,1,2018,Middle-Shelf,Reef Crest,5,1.5, very shallow (0-8m),Patch reef ,3,High (3-4m),A. palmata,N/A,1,0-3km,3.8,3-6km,W,Bahía San Juan / Rio Puerto Nuevo,4,4-9w,East/Northeast,Yes,No,3.66, Arrecife de la Isla Verde,2012,7,0.95,Commercial and Recreational Fishing Prohibited,No-Take,Yes,18.46238,-66.05158,18.4623,-66.05164,18.46222,-66.0517,18.46258,-66.05157,18.46231,-66.05138
Cayo Diablo (2016),16DIAB05,Fajardo,North/Northeast,E,18.36033,-65.53089,Current,2016,2018,2,"2016, 2018",Middle-Shelf,Fore Reef,5,5.4, very shallow (0-8m),Aggregate reef,3,High (3-4m),High-Moderate Hard Coral,-39%,9,6-12km,10.7,6-12km,SW,Rio Fajardo,1,1w,East/Northeast,,Yes,0, Arrecifes de la Cordillera,1980,39,100.83,Commerical Fishing Restricted,Uniform Multiple-Use,Yes,18.36049,-65.53077,18.36039,-65.53082,18.36033,-65.53089,18.36024,-65.53094,18.36021,-65.53098
Palominos (2016),16PALN20,Fajardo,North/Northeast,E,18.35466,-65.56711,Current,2016,2018,2,"2016, 2018",Middle-Shelf,Fore Reef,20,20,intermediate (15-21m),aggregate reef,4,High (3-4m),High-Moderate Hard Coral,-12%,5.8,3-6km,6.8,6-12km,W,Rio Fajardo,1,1w,East/Northeast,,Yes,0, Arrecifes de la Cordillera,1980,39,100.83,Commerical Fishing Restricted,Uniform Multiple-Use,Yes,18.35486,-65.56697,18.35476,-65.56704,18.35466,-65.56711,18.35456,-65.56712,18.35442,-65.56704
Palominitos (2016),16PALT10,Fajardo,North/Northeast,E,18.33537,-65.56555,Current,2016,2018,2,"2016, 2018",Middle-Shelf,Fore Reef,10,10,shallow (8-14m),Spur & Groove,3,High (3-4m),O. annularis complex,-18%,6.4,3-6km,6.3,3-6km,W,Rio Fajardo,1,1w,East/Northeast,Yes,Yes,0, Arrecifes de la Cordillera,1980,39,100.83,Commerical Fishing Restricted,Uniform Multiple-Use,Yes,18.3352,-65.56558,18.33528,-65.56556,18.33537,-65.56555,18.3355,-65.56557,18.33559,-65.56556
Cabezas de San Juan,18CABE05,Fajardo,North/Northeast,E,18.38544,-65.62972,Current,2018,2018,1,2018,Inner-Shelf,Fore Reef,10,6, very shallow (0-8m),Pavement,1,Low (0-2m),Low Coral,N/A,0.6,0-3km,8.8,6-12km,S,Rio Fajardo,2,2-3w,East/Northeast,Yes,Yes,0, Las Cabezas de San Juan,1986,33,306.69,Commerical Fishing Restricted,Uniform Multiple-Use,Yes,18.3855,-65.62964,18.38549,-65.62972,18.38544,-65.62972,18.38539,-65.62979,18.3853,-65.62985
Cayo Diablo (1999),99DIAB10,Fajardo,North/Northeast,E,18.36003,-65.53237,Previous,1999,1999,1,1999,Middle-Shelf,Fore Reef,10,10.6,shallow (8-14m),Aggregate reef,4,High (3-4m),O. annularis complex,N/A,9,6-12km,10.7,6-12km,SW,Rio Fajardo,1,1w,East/Northeast,,Yes,0, Arrecifes de la Cordillera,1980,39,100.83,Commerical Fishing Restricted,Uniform Multiple-Use,N/A,,,,,18.36003,-65.53237,,,,
Palominos (1999),99PALN10,Fajardo,North/Northeast,E,18.35555,-65.57112,Previous,1999,1999,1,1999,Middle-Shelf,Fore Reef,10,10.6,shallow (8-14m),aggregate reef,5,Very High (5-8m),High-Moderate Hard Coral,N/A,5.8,3-6km,6.8,6-12km,W,Rio Fajardo,1,1w,East/Northeast,,Yes,0, Arrecifes de la Cordillera,1980,39,100.83,Commerical Fishing Restricted,Uniform Multiple-Use,N/A,,,,,18.35555,-65.57112,,,,
Palominitos (1999),99PALT10,Fajardo,North/Northeast,E,18.3357,-65.56573,Previous,1999,1999,1,1999,Middle-Shelf,Fore Reef,10,10.6,shallow (8-14m),Spur & Groove,3,High (3-4m),O. annularis complex,N/A,6.4,3-6km,6.3,3-6km,W,Rio Fajardo,1,1w,East/Northeast,Yes,Yes,0, Arrecifes de la Cordillera,1980,39,100.83,Commerical Fishing Restricted,Uniform Multiple-Use,N/A,,,,,18.3357,-65.56573,,,,
Cayo Aurora,11AURO05,Guanica,Southwest,SW,17.9369,-66.8738,Current,2011,2017,4,"2011, 2013, 2015, 2017",Inner-Shelf,Reef Crest,5,3.5, very shallow (0-8m),Pavement,4,High (3-4m),A. palmata,-9%,1,0-3km,7,6-12km,NW,Rio Loco Guanica,1,1w,South,Yes,Yes,0,Bosque Estatal de Guanica,1985,34,17.85,Commerical Fishing Restricted,Uniform Multiple-Use,PENDING,,,,,17.9369,-66.8738,,,,
Caña Gorda,99CGOR10,Guanica,Southwest,SW,17.93967,-66.86088,Previous,1999,1999,1,1999,Middle-Shelf,Fore Reef,10,10,shallow (8-14m),Patch reef ,3,High (3-4m),High-Moderate Hard Coral,N/A,0.6,0-3km,8.3,6-12km,NW,Rio Loco Guanica,1,1w,South,Yes,Yes,0,Bosque Estatal de Guanica,1985,34,17.85,Commerical Fishing Restricted,Uniform Multiple-Use,N/A,,,,,17.93967,-66.86088,,,,
Cayo Coral,99CORA10,Guanica,Southwest,SW,17.9362,-66.8884,Current,1999,2017,11,"1999, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2013, 2015, 2017",Middle-Shelf,Fore Reef,5,3, very shallow (0-8m),Aggregate reef,4,High (3-4m),Octocoral canopy,-41%,1.7,0-3km,6,3-6km,NW,Rio Loco Guanica,1,1w,South,Yes,Yes,0,Bosque Estatal de Guanica,1985,34,17.85,Commerical Fishing Restricted,Uniform Multiple-Use,PENDING,,,,,17.9362,-66.8884,,,,
Punta Ventana,99VENT15,Guanica,Southwest,SW,17.9414,-66.823,Previous,1999,1999,1,1999,Outer-Shelf,Shelf Edge,15,16.7,intermediate (15-21m),Spur & Groove,3,High (3-4m),High-Moderate Hard Coral,N/A,1.4,0-3km,9.5,6-12km,NW,Rio Yauco,3,2-3w,South,Yes,No,0.64,Bosque Estatal de Guanica,1985,34,17.85,Commerical Fishing Restricted,Uniform Multiple-Use,N/A,,,,,17.9414,-66.823,,,,
Canjilones Las Mareas,01CANM20,Guayama,Southeast,S,17.88428,-66.14912,Previous,2001,2001,1,2001,Middle-Shelf,Bank/Shelf,20,21.2,intermediate (15-21m),Aggregate reef,Not Determined,Not Determined,O. annularis complex,N/A,3,0-3km,3,0-3km,N,Rio Guamaní,1,1-3w,South,Yes,No,7.68,Arrecifes de Guayama,1980,39,4.42,No Site Restrictions,Uniform Multiple-Use,N/A,,,,,17.88428,-66.14912,,,,
Las Mareas Ridge,01LMAR15,Guayama,Southeast,S,17.88488,-66.14927,Previous,2001,2001,1,2001,Inner-Shelf,Fore Reef,15,16.7,intermediate (15-21m),Aggregate reef,1,Low (0-2m),Octocoral canopy,N/A,2,0-3km,2,0-3km,N,Rio Guamaní,1,1-3w,South,Yes,No,8.17,Arrecifes de Guayama,1980,39,4.42,No Site Restrictions,Uniform Multiple-Use,N/A,,,,,17.88488,-66.14927,,,,
Guayama Patch Reef,13GUAP10,Guayama,Southeast,S,17.90486,-66.08026,Previous,2013,2013,1,2013,Inner-Shelf,Bank/Shelf,10,7.5, very shallow (0-8m),Patch reef ,4,High (3-4m),O. annularis complex,N/A,3,0-3km,3.7,3-6km,NW,Rio Guamaní,2,2-3w,South,Yes,No,5.28,Arrecifes de Guayama,1980,39,4.42,No Site Restrictions,Uniform Multiple-Use,N/A,,,,,17.90486,-66.08026,,,,
Guayama Outer Shelf,13GUAY20,Guayama,Southeast,S,17.89966,-66.12154,Previous,2013,2013,1,2013,Outer-Shelf,Shelf Edge,20,19,intermediate (15-21m),Spur & Groove,1,Low (0-2m),High-Moderate Hard Coral,N/A,6,3-6km,7,6-12km,N,Rio Guamaní,2,1-3w,South,Yes,No,5.14,Arrecifes de Guayama,1980,39,4.42,No Site Restrictions,Uniform Multiple-Use,N/A,,,,,17.89966,-66.12154,,,,
Maria Langa 10m (2001),01MLAN10,Guayanilla,South,S,17.96703,-66.75103,Previous,2001,2001,1,2001,Inner-Shelf,Fore Reef,10,10,shallow (8-14m),aggregate reef,2,Low (0-2m),High-Moderate Hard Coral,N/A,1.15,0-3km,3,0-3km,N,Rio Tallaboa,4,4-9w,South,Yes,No,7.5,Bosque Estatal de Guanica,1985,34,17.85,Commerical Fishing Restricted,Uniform Multiple-Use,N/A,,,,,17.96703,-66.75103,,,,
Maria Langa 20m (2001),01MLAN15,Guayanilla,South,S,17.96234,-66.7492,Previous,2001,2001,1,2001,Middle-Shelf,Fore Reef,15,16,intermediate (15-21m),Aggregate reef,3,High (3-4m),High-Moderate Hard Coral,N/A,1.7,0-3km,3.1,3-6km,N,Rio Tallaboa,4,4-9w,South,Yes,No,7.5,Bosque Estatal de Guanica,1985,34,17.85,Commerical Fishing Restricted,Uniform Multiple-Use,N/A,,,,,17.96234,-66.7492,,,,
Tallaboa Reef,01TARF10,Guayanilla,South,S,17.94598,-66.72467,Previous,2001,2001,1,2001,Outer-Shelf,Shelf Edge,10,10.6,shallow (8-14m),Aggregate reef,2,Low (0-2m),Octocoral canopy,N/A,4.02,3-6km,5.25,3-6km,N,Rio Tallaboa,5,4-9w,South,Yes,No,4.3,Punta Las Cucharas,2008,11,15,Fishing Restrictions Unknown,Uniform Multiple-Use,N/A,,,,,17.94598,-66.72467,,,,
Maria Langa 5m,16MLAN05,Guayanilla,South,S,17.96488,-66.75647,Current,2016,2017,2,"2016, 2017",Inner-Shelf,Fore Reef,5,3.1, very shallow (0-8m),Pavement,1,Low (0-2m),Low Coral,-64%,1.15,0-3km,3.2,3-6km,N,Rio Tallaboa,4,4-9w,South,Yes,No,7.5,Bosque Estatal de Guanica,1985,34,17.85,Commerical Fishing Restricted,Uniform Multiple-Use,PENDING,,,,,17.96488,-66.75647,,,,
Maria Langa 10m (2016),16MLAN10,Guayanilla,South,S,17.96093,-66.75292,Current,2016,2017,2,"2016, 2017",Middle-Shelf,Fore Reef,10,8.9,shallow (8-14m),aggregate reef,2,Low (0-2m),High-Moderate Hard Coral,23%,1.7,0-3km,3,0-3km,N,Rio Tallaboa,4,4-9w,South,Yes,No,7.5,Bosque Estatal de Guanica,1985,34,17.85,Commerical Fishing Restricted,Uniform Multiple-Use,PENDING,,,,,17.96093,-66.75292,,,,
Maria Langa 20m (2016),16MLAN20,Guayanilla,South,S,17.95953,-66.74698,Current,2016,2017,2,"2016, 2017",Outer-Shelf,Fore Reef,15,15.8,intermediate (15-21m),Spur & Groove,3,High (3-4m),Octocoral canopy,19%,2,0-3km,3.3,3-6km,N,Rio Tallaboa,4,4-9w,South,Yes,No,7.5,Bosque Estatal de Guanica,1985,34,17.85,Commerical Fishing Restricted,Uniform Multiple-Use,PENDING,,,,,17.95953,-66.74698,,,,
Carlos Rosario,16CROS10,Isla Culebra,Vieques/Culebra,E,18.32779,-65.332,Current,2016,2018,2,"2016, 2018",Inner-Shelf*Island,Fore Reef,10,10,shallow (8-14m),Aggregate reef,6,Very High (5-8m),High-Moderate Hard Coral,-15%,32,>12km,32,>12km,W,Rio Fajardo,0,0w,No Near Influence,Yes,Yes,0, Canal Luis Peña,1999,20,6.33,Commercial and Recreational Fishing Prohibited,No-Take,Yes,18.32765,-65.3319,18.32774,-65.332,18.32779,-65.332,18.32789,-65.332,18.32798,-65.3321
Dakiti,16DAKI20,Isla Culebra,Vieques/Culebra,E,18.27587,-65.2773,Current,2016,2018,2,"2016, 2018",Inner-Shelf*Island,Bank/Shelf,20,20,intermediate (15-21m),aggregate reef,4,High (3-4m),Low Coral,-9%,37,>12km,37,>12km,W,Rio Fajardo,0,0w,No Near Influence,Yes,No,4.9, Canal Luis Peña,1999,20,6.33,Commercial and Recreational Fishing Prohibited,No-Take,Yes,18.27594,-65.2775,18.27592,-65.2774,18.27587,-65.2773,18.27582,-65.2772,18.2758,-65.2771
Canal Luis Peña,16LPEN05,Isla Culebra,Vieques/Culebra,E,18.30493,-65.32772,Current,2016,2018,2,"2016, 2018",Inner-Shelf*Island,Fore Reef,5,5.4, very shallow (0-8m),Aggregate reef,4,High (3-4m),Low Coral,-52%,32,>12km,32,>12km,W,Rio Fajardo,0,0w,No Near Influence,Yes,Yes,0, Canal Luis Peña,1999,20,6.33,Commercial and Recreational Fishing Prohibited,No-Take,Yes,18.3048,-65.32777,18.30486,-65.32772,18.30493,-65.32772,18.30501,-65.32772,18.30507,-65.3277
Puerto Botes 20m,00BOTE20,Isla Desecheo,Mona/Desecheo,W,18.38158,-67.4886,Current,2000,2018,12,"2000, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2013, 2015, 2018",Outer-Shelf*Island,Bank/Shelf,20,18.5,intermediate (15-21m),Patch reef ,4,High (3-4m),High-Moderate Hard Coral,-76%,24,>12km,26,>12km,E,Rio Grande Aguada,0,0w,No Near Influence,,Yes,0,Isla Desecheo,2000,19,6.77,Commercial and Recreational Fishing Prohibited,No-Take,PENDING,,,,,18.38158,-67.4886,,,,
Puerto Canoas 20m,00CANO20,Isla Desecheo,Mona/Desecheo,W,18.37832,-67.48377,Previous,2000,2000,1,2000,Outer-Shelf*Island,Bank/Shelf,20,17.6,intermediate (15-21m),Patch reef ,3,High (3-4m),O. annularis complex,N/A,24,>12km,26,>12km,E,Rio Grande Aguada,0,0w,No Near Influence,,Yes,0,Isla Desecheo,2000,19,6.77,Commercial and Recreational Fishing Prohibited,No-Take,N/A,,,,,18.37832,-67.48377,,,,
Desecheo North Reef,00DNOR10,Isla Desecheo,Mona/Desecheo,W,18.39027,-67.48715,Previous,2000,2000,1,2000,Outer-Shelf*Island,Bank/Shelf,10,10.6,shallow (8-14m),Bedrock,3,High (3-4m),High-Moderate Hard Coral,N/A,24,>12km,26,>12km,E,Rio Grande Aguada,0,0w,No Near Influence,,Yes,0,Isla Desecheo,2000,19,6.77,Commercial and Recreational Fishing Prohibited,No-Take,N/A,,,,,18.39027,-67.48715,,,,
Puerto Botes 15m,04BOTE15,Isla Desecheo,Mona/Desecheo,W,18.382,-67.48833,Current,2004,2018,11,"2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2013, 2015, 2018",Outer-Shelf*Island,Bank/Shelf,15,15.5,intermediate (15-21m),Patch reef ,3,High (3-4m),Low Coral,-48%,24,>12km,26,>12km,E,Rio Grande Aguada,0,0w,No Near Influence,,Yes,0,Isla Desecheo,2000,19,6.77,Commercial and Recreational Fishing Prohibited,No-Take,PENDING,,,,,18.382,-67.48833,,,,
Puerto Canoas 30m,04CANO30,Isla Desecheo,Mona/Desecheo,W,18.37747,-67.484,Current,2004,2018,11,"2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2013, 2015, 2018",Outer-Shelf*Island,Bank/Shelf,30,28.5,mesophotic (28-35m),Patch reef ,3,High (3-4m),O. annularis complex,-39%,24,>12km,26,>12km,E,Rio Grande Aguada,0,0w,No Near Influence,,Yes,0,Isla Desecheo,2000,19,6.77,Commercial and Recreational Fishing Prohibited,No-Take,PENDING,,,,,18.37747,-67.484,,,,
Las Carmelitas,00CARM10,Isla Mona,Mona/Desecheo,W,18.09872,-67.93833,Previous,2000,2010,4,"2000, 2008, 2009, 2010",Inner-Shelf*Island,Fore Reef,10,8.5,shallow (8-14m),Aggregate reef,4,High (3-4m),Low Coral,-63%,82,>12km,84,>12km,E,Rio Guanajibo,0,0w,No Near Influence,,Yes,0,Isla de Mona,1986,33,1519.95,Commercial and Recreational Fishing Restricted,Zoned Multiple-Use w/ No Take Areas,N/A,,,,,18.09872,-67.93833,,,,
Mujeres,00MUJE20,Isla Mona,Mona/Desecheo,W,18.0717,-67.93692,Previous,2000,2010,4,"2000, 2008, 2009, 2010",Outer-Shelf*Island,Shelf Edge,20,18.9,intermediate (15-21m),Aggregate reef,3,High (3-4m),High-Moderate Hard Coral,-68%,80,>12km,82,>12km,E,Rio Guanajibo,0,0w,No Near Influence,,Yes,0,Isla de Mona,1986,33,1519.95,Commercial and Recreational Fishing Restricted,Zoned Multiple-Use w/ No Take Areas,N/A,,,,,18.0717,-67.93692,18.07182,-67.93785,,
Pajaros,00PAJA15,Isla Mona,Mona/Desecheo,W,18.0528,-67.86658,Previous,2000,2000,1,2000,Outer-Shelf*Island,Shelf Edge,15,13.6,shallow (8-14m),Spur & Groove,3,High (3-4m),High-Moderate Hard Coral,N/A,70,>12km,74,>12km,E,Rio Guanajibo,0,0w,No Near Influence,,Yes,0,Isla de Mona,1986,33,1519.95,Commercial and Recreational Fishing Restricted,Zoned Multiple-Use w/ No Take Areas,N/A,,,,,18.0528,-67.86658,,,,
Sardinera,08SARD30,Isla Mona,Mona/Desecheo,W,18.09474,-67.94926,Previous,2008,2010,3,"2008, 2009, 2010",Outer-Shelf*Island,Bank/Shelf,30,30,mesophotic (28-35m),Pavement,3,High (3-4m),Low Coral,-12%,81,>12km,83,>12km,E,Rio Guanajibo,0,0w,No Near Influence,,Yes,0,Isla de Mona,1986,33,1519.95,Commercial and Recreational Fishing Restricted,Zoned Multiple-Use w/ No Take Areas,N/A,,,,,18.09474,-67.94926,,,,
Boya 6,01BOY610,Isla Vieques,Vieques/Culebra,E,18.17852,-65.51913,Previous,2001,2001,1,2001,Middle-Shelf*Island,Bank/Shelf,10,10.6,shallow (8-14m),Aggregate reef,4,High (3-4m),Octocoral canopy,N/A,9.5,6-12km,28,>12km,W,Rio Blanco,0,0w,No Near Influence,Yes,No,17, Arrecifes de la Cordillera,1980,39,100.83,Commerical Fishing Restricted,Uniform Multiple-Use,N/A,,,,,18.17852,-65.51913,,,,
